"id","admin_id","date_time","function","operate"
"1287","43","29/5/2020 10:20:46","选举管理","查看"
"1288","43","29/5/2020 10:20:51","选举管理","查看"
"1289","43","29/5/2020 10:21:00","选举管理","修改"
"1290","43","29/5/2020 10:21:09","选举管理","查看"
"1291","43","29/5/2020 10:22:13","选举管理","新增"
"1292","43","29/5/2020 10:22:47","选举管理","查看"
"1293","43","29/5/2020 10:22:53","选举管理","查看"
"1294","43","29/5/2020 10:23:04","选举管理","修改"
"1295","43","29/5/2020 10:23:12","选举管理","查看"
"1296","43","29/5/2020 10:23:17","选举管理","查看"
"1297","43","29/5/2020 10:23:19","选举管理","修改"
"1298","43","29/5/2020 10:23:20","选举管理","查看"
"1299","43","29/5/2020 10:28:15","选举管理","新增"
"1300","43","29/5/2020 10:33:29","选举管理","查看"
"1301","43","29/5/2020 10:33:36","选举管理","查看"
"1302","43","29/5/2020 10:34:55","选举管理","修改"
"1303","43","29/5/2020 10:34:56","选举管理","查看"
"1304","43","29/5/2020 10:35:00","选举管理","查看"
"1305","43","29/5/2020 10:35:03","选举管理","查看"
"1306","43","29/5/2020 10:35:05","选举管理","修改"
"1307","43","29/5/2020 10:35:24","选举管理","查看"
"1308","1","29/5/2020 10:38:30","选举管理","新增"
"1309","1","29/5/2020 10:44:39","选举管理","查看"
"1310","1","29/5/2020 10:44:41","选举管理","修改"
"1311","1","29/5/2020 10:48:45","选举管理","查看"
"1312","1","29/5/2020 10:49:06","选举管理","修改"
"1313","1","29/5/2020 10:49:57","选举管理","查看"
"1314","1","29/5/2020 10:49:59","选举管理","修改"
"1315","1","29/5/2020 10:56:19","选举管理","查看"
"1316","1","29/5/2020 10:56:28","选举管理","修改"
"1317","1","29/5/2020 10:56:31","选举管理","查看"
"1318","1","29/5/2020 10:56:42","选举管理","查看"
"1319","1","29/5/2020 10:56:44","选举管理","修改"
"1320","1","29/5/2020 10:56:45","选举管理","查看"
"1321","1","29/5/2020 10:56:49","选举管理","修改"
"1322","1","29/5/2020 10:59:10","选举管理","查看"
"1323","1","29/5/2020 10:59:13","选举管理","修改"
"1324","1","29/5/2020 11:04:27","选举管理","查看"
"1325","1","29/5/2020 11:04:46","选举管理","修改"
"1326","1","29/5/2020 11:04:58","选举管理","查看"
"1327","1","29/5/2020 11:06:56","选举管理","修改"
"1328","1","29/5/2020 11:06:59","选举管理","查看"
"1329","1","29/5/2020 11:07:07","选举管理","修改"
